ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,WALS_Code
koro1298-2,Koromfe (BJ),,,,koro1298,kfz,kfe
korowaibj,Korowai (BJ),,,,,,krw
kron1241,Krongo (BJ),,,,kron1241,kgo,kro
kuku1280,Kugu Nganhcara (BJ),,,,kuku1280,uwa,knc
bari1284,Kukú (BJ),,,,bari1284,bfa,kuk
kuku1273,Kuku-Yalanji (BJ),,,,kuku1273,gvn,kya
kuna1268,Kunama (BJ),,,,kuna1268,kun,knm
kute1249,Kutenai (BJ),,,,kute1249,kut,kut
kwai1243,Kwaio (BJ),,,,kwai1243,kwd,kwa
lada1244,Ladakhi (BJ),,,,lada1244,lbj,lad
lakk1252,Lak (BJ),,,,lakk1252,lbe,lak
lama1288,Lamang (BJ),,,,lama1288,hia,lmg
latv1249,Latvian (BJ),,,,latv1249,lav,lat
lepc1244,Lepcha (BJ),,,,lepc1244,lep,lep
lezg1247,Lezgian (BJ),,,,lezg1247,lez,lez
lill1248,Lillooet (BJ),,,,lill1248,lil,lil
nucl1327,Limilngan (BJ),,,,nucl1327,lmc,lml
ling1263,Lingala (BJ),,,,ling1263,lin,lin
lisu1250,Lisu (BJ),,,,lisu1250,lis,lis
long1395,Longgu (BJ),,,,long1395,lgu,lgu
loni1238,Loniu (BJ),,,,loni1238,los,lon
lund1266,Lunda,,,,lund1266,lun,lbu
madi1260,Ma'di (BJ),,,,madi1260,mhi,mad
male1284,Maale (BJ),,,,male1284,mdy,mle
macu1259,Macushi (BJ),,,,macu1259,mbc,mac
nucl1460,Madurese (BJ),,,,nucl1460,mad,mdr
maipurebj,Maipure (BJ),,,,,,mpr
mait1250,Maithili (BJ),,,,mait1250,mai,mai
maka1318,Makah (BJ),,,,maka1318,myh,mak
mamc1234,Mam (BJ),,,,mamc1234,mvc,mam
mang1381,Mangarrayi (BJ),,,,mang1381,mpc,myi
tuuu1240,Mangghuer (BJ),,,,tuuu1240,mjg,mgg
maor1246,Maori (BJ),,,,maor1246,mri,mao
mara1386,Maranungku (BJ),,,,mara1386,zmr,mku
mara1378,Marathi (BJ),,,,mara1378,mar,mhi
marquesanbj,Marquesan (BJ),,,,,,mrq
mati1255,Matis (BJ),,,,mati1255,mpq,mts
mats1244,Matsés (BJ),,,,mats1244,mcf,myr
maib1239,Maybrat (BJ),,,,maib1239,ayz,may
mbabarambj,Mbabaram (BJ),,,,,,mbb
mbay1241,Mbay (BJ),,,,mbay1241,myb,mby
bamb1266,Mbili (BJ),,,,bamb1266,baw,mbi
mend1266,Mende (BJ),,,,mend1266,men,mde
sanm1295,Mixtec (Chalcatongo) (BJ),,,,sanm1295,mig,mxc
miya1266,Miya (BJ),,,,miya1266,mkf,miy
moco1246,Mocoví (BJ),,,,moco1246,moc,mcv
mono1275,Mono (in United States) (BJ),,,,mono1275,mnr,mno
nucl1458,Monumbo (BJ),,,,nucl1458,mxk,mbo
mose1249,Mosetén (BJ),,,,mose1249,cas,mos
siwa1245,Motuna (BJ),,,,siwa1245,siw,mot
mund1325,Mundang (BJ),,,,mund1325,mua,mdg
mund1339,Mundari (BJ),,,,mund1339,muw,mun
mwag1236,Mupun (BJ),,,,mwag1236,sur,mup
murl1244,Murle (BJ),,,,murl1244,mur,mrl
musg1254,Musgu (BJ),,,,musg1254,mug,mgu
