Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
Object-verb agreement,"Moravcsik, Edith A.",article,,,,,,,Working Papers in Language Universals,,25-140,,80,,,15,1974,
,"Newman, Paul",,The Hausa Language: An Encyclopedic Reference Grammar,,New Haven,,"Newman, Paul. 2000. The Hausa Language: An Encyclopedic Reference Grammar. New Haven. Yale University Press.",,,,,Yale University Press,82,,,,2000,
,"Payne, Thomas E.",book,Describing morphosyntax: a guide for field linguists.,,Cambridge,,,,,,,Cambridge University Press,83,,,,1997,
,"Reh, Mechthild",,"Die Krongo-Sprache (nìino mó-dì). Beschreibung, Texte, Wörterverzeichnis",,Berlin,,"Reh, Mechthild. 1985. Die Krongo-Sprache (nìino mó-dì). Beschreibung, Texte, Wörterverzeichnis. Kölner Beiträge zur Afrikanistik, 12. Berlin. Dietrich Reimer.",,,,,Dietrich Reimer,84,,,,1985,
,"Roberts, John R.",,Amele,,London,,"Roberts, John R. 1987. Amele. Descriptive Grammars. London. Croom Helm.",,,,,Croom Helm,85,,,,1987,
Dative shifting and double objects in Sahaptin,"Rude, Noel",incollection,Grammatical relations: A functionalist perspective,,Amsterdam,"Givón, Talmy",,,,,323-349,John Benjamins,86,,,,1997,
,"Siewierska, Anna",book,Person,,Cambridge,,,,,,,Cambridge University Press,88,,,,2004,
Ditransitive clauses in English with special reference to Lancashire dialect,"Siewierska, Anna & Willem Hollmann",incollection,The English clause: usage and structure,,Amsterdam,"Hannay, Mike & Gerard J. Steen",,,,,,John Benjamins,89,,,,2005,
Hierarchy of features and ergativity,"Silverstein, Michael",incollection,Grammatical categories in Australian languages,,Canberra,"Dixon, R. M. W.",,,,ch01silverstein1976,112-171,Australian Institute of Aboriginal Studies,90,,,,1976,
,"Song, Jae Jung",book,Linguistic Typology: Morphology and Syntax,,Harlow & London,,,,,,,Pearson Education,91,,,,2001,
Tanoan studies: passive sentences in Picuris,"Zaharlick, Ann Marie",article,,,,,,,Ohio State University Working Papers in Linguistics,,34-48,,93,,,26,1982,
Inverse systems in indigenous languages of the Americas.,"Zúñiga, Fernando",phdthesis,,,,,"Zúñiga, Fernando. 2002. Inverse systems in indigenous languages of the Americas. University of Zurich.",,,,,,94,University of Zurich,,,2002,
Remarks on description and explanation in grammar: Commentary on Haspelmath [2004],"Aissen, Judith L. & Joan Bresnan",article,,,,,"Aissen, Judith L. & Joan Bresnan. 2004. Remarks on description and explanation in grammar: Commentary on Haspelmath [2004]. Studies in Language, 28 (3): 580-583.",3,Studies in Language,,580-583,,95,,,28,2004,
