Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
"A Typology of Causatives: Form, Syntax and Meaning","Dixon, Robert M. W.",,Changing Valency: Case Studies in Transitivity,,Cambridge,"Dixon, Robert M. W. & Alexandra Y. Aikhenvald",,,,,30-83,Cambridge University Press,1675,,,,2000,
,"Emonds, Joseph E.",book,"Discovering Sytax: Clause Structures of Enlish, German and Romance",,Berlin,,,,,,,Mouton de Gruyter,1676,,,,2007,
,"Grjunberg, Aleksandr L.",,Jazyk severoazerbajdzhanskix tatov,,,,,,,,,,1677,,,,1963,
,"Haspelmath, Martin & Ekkehard König & Wulf Oesterreicher & Wolfgang Raible",book,Language typology and language universals: An international handbook.,,Berlin,,"Haspelmath, Martin & Ekkehard König & Wulf Oesterreicher & Wolfgang Raible (eds.). 2001. Language typology and language universals: An international handbook. Handbücher zur Sprach- und Kommunikationswissenschaft, Vol. 1-2. Berlin: Mouton de Gruyter.",,,,,Mouton de Gruyter,1678,,,,2001,
Valency Change,"Haspelmath, Martin & Thomas Müller-Bardey",incollection,"Morphology: A Handbook on Infletion and Word Formation, Vol. 2",,Berlin,"Booij, Geert & Christian Lehmann & Joachim Mugdan","Haspelmath, Martin & Thomas Müller-Bardey. 2004 (2001?). Valency Change. in: Booij, Geert & Christian Lehmann & Joachim Mugdan (eds.). Morphology: A Handbook on Inflection and Word Formation, Vol. 2. Handbücher zur Sprach- und Kommunikationswissenschaft. Berlin: Mouton de Gruyter. 1130-1145.",,,,1130-1145,Mouton de Gruyter,1679,,,,2004,
The grammar of causatives and the conceptual structure of events,"Kemmer, Suzanne & Arie Verhagen",,,,,,"Kemmer, Suzanne & Arie Verhagen 1994. The grammar of causatives and the conceptual structure of events. Cognitive Linguistics, 5: 115-156.",,Cognitive Linguistics,,115-156,,1680,,,5,1994,
,"Kouwenberg, Silvia",,A Grammar of Berbice Dutch Creole,,Berlin,,,,,,,Mouton de Gruyter,1681,,,,1994,
,"Michaelis, Laura A. & Josef Ruppenhofer",,Beyond Alternations: A Construction-Based Approach to the Applicative Pattern in German.,,Stanford,,,,,,,CSLI Publications,1684,,,,2001,
"Case pattern splits, verb types, and construction competition","Malchukov, Andrej",,Competition and Variation in Natural Languages,,London,"Amberber, Mengistu & Helen Hoop","Malchukov, Andrej. 2005. Case pattern splits, verb types, and construction competition. in: Amberber, Mengistu & Helen Hoop (eds.). Competition and Variation in Natural Languages: the Case for Case. London: Elsevier. pp. 73-117.",,,,73-117,Elsevier,1685,,,,2005,
,"Narrog, Heiko",,Modality in Japanese. The layered structure of the clause and hierachies of functional categories,,Amsterdam,,,,,,,John Benjamins,1686,,,,2009,
Tipologija morfologičeskogo i leksičeskogo kauzativov [Typology of morphological and lexical causatives],"Nedjalkov, Vladimir P. & Georgij G. Silnitskij",,Tipologija Kauzativnyx Konstrukcij [Typology of causative constructions],,Moscow,"Xolodovič, Alexander A.",,,,,20-60,Nauka,1687,,,,1969,
The Modals Story Retold,"Plank, Frans",,,,,,,3,Studies in Language,,305-364,,1688,,,8,1984,
,"Pinker, Steven",,Learnability and cognition: The acquisition of argument structure,,Cambridge,,,,,,,MIT Press,1689,,,,1989,
Applicatives and benefactives: a cognitive account [includes Indonesian and Japanese,"Shibatani, Masayoshi",,Grammatical constructions: their form and meaning,,New York,"Shibatani, Masayoshi & Sandra A. Thompson",,,,,157-194,Oxford University Press,5327523186,,,,1996,
"Elements of complex structures, where recursion isn’t: The case of relativization","Shibatani, Masayoshi",,"Syntactic complexity: diachrony, acquisition, neuro-cognition, evolution",,Amsterdam,"Givón, Talmy & Masayoshi Shibatani",,,,,163-198,John Benjamins,5327545417,,,,2009,
,"Song, Jae Jung",,Causatives and causation: A universal-typological perspective,,London,,,,,,,Addison Wesley Longman,5327558932,,,,1996,
,"Taylor, John R.",,Linguistic Categorization: Prototypes in linguistic theory,,Oxford,,"Taylor, John R. 1989. Linguistic Categorization: Prototypes in linguistic theory. Oxford: Clarendon.",,,,,Clarendon,5327580978,,,,1989,
Propriétés d'encodage et de comportement des constructions ditransitives en Jóola Banjal,"Bassène, Alain-Christian",,,,,,"Bassène, Alain-Christian, 2009: Propriétés d'encodage et de comportement des constructions ditransitives en Jóola Banjal. Journal of African Languages and Linguistics, 30 (1): 1-20.",1,Journal of African Languages and Linguistics,,1-20,,5351666295,,,30,2009,
1P antipassives and the political history of the Southern Kirant,"Bickel, Balthasar & Martin Gaenszle",,,,,,"Bickel, Balthasar & Gaenszle, Martin. 2005. 1P antipassives and the political history of the Southern Kirant. Paper presented at the 11th Himalayan Languages Symposium, Bangkok, December 6 - 9, 2006.",,,,,,5351724342,,,,2005,
Four Versions of a Neo-Aramaic Children's Story First,"Coghill, Eleanor",,,,,,"Coghill, Eleanor. 2009. Four Versions of a Neo-Aramaic Children's Story First. ARAM Periodical, 21: 251-280.",,ARAM Periodical,,251-280,,5351783756,,,21,2009,
Double Object Constructions,"Emonds, Joseph & Rosemarie Whitney",,The Blackwell Companion to Syntax,21,Oxford,"Everaert, Martin & Henk van Riemsdijk",,,,,,Blackwell,5351887083,,,,2007,
,"Siewierska, Anna",book,The Passive: A Contrastive Linguistic Analysis,,London,,"Siewierska, Anna. 1984. The Passive: A Contrastive Linguistic Analysis. London: Croom Helm.",,,,,Croom Helm,5352196759,,,,1984,
Word Order Variation of Whole-part Relation,"Lu, Bingfu",,,,,,,,,,,,5352322060,,http://linguistlist.org/issues/18/18-2811.html,,2007,
The Gradience of the Dative Alternation,"Bresnan, Joan & Tatiana Nikitina",book,Reality Exploration and Discovery: Pattern Interaction in Language and Life,,Stanford,"Uyechi, Linda & Lian Hee Wee","Bresnan, Joan & Tatiana Nikitina. 2007. The Gradience of the Dative Alternation in: Linda Uyechi and Lian Hee Wee (eds.). Reality Exploration and Discovery: Pattern Interaction in Language and Life. Stanford: CSLI Publications.",,,,,CSLI Publications,5352359921,,,,2007,
Handout: Locational datives and dative agreement in the eastern dialects of Basque,"Etxepare, Ricardo & Beñat Oyharçabal",,,,,,,,,,,,5352867936,,,,2008,
Word order variation and ba sentences in Chinese,"Liu, Feng-hsi",article,,,,,,3,Studies in Language,,649-682,,5352914862,,,31,2007,
On understanding word order asymmetries,"Haspelmath, Martin",,,,,,"Haspelmath, Martin. 2002. On understanding word order asymmetries. [Comments on John A. Hawkins: Symmetries and asymmetries: their grammar, typology and parsing.] Theoretical Linguistics, 28. 159-170.",,Theoretical Linguistics,,159-170,,5353032372,,,28,2002,
Split intransitivity: Functional oppositions in intransitive inflection,"Merlan, Francesca C.",,Grammar inside and outside the clause. Approaches to Theory from the Field,,Cambridge,"Nichols, Johanna & Anthony Woodbury","Merlan, Francesca. 1985. Split intransitivity: Functional oppositions in intransitive inflection. in: Nichols, Johanna & Anthony Woodbury (eds.). Grammar inside and outside the clause. Approaches to Theory from the Field.Cambridge: Cambridge University Press. pp. 324-362.",,,,324-362,Cambridge University Press,5353087367,,,,1985,
,"Lazard, Gilbert",,L'Actance,,Paris,,,,,,,Presses Universitaires de France,5353115471,,,,1994,
The Crosslinguistic Study of Dative Alternations: A Verb Sensitive Perspective,"Levin, Beth & Malka Rappaport Hovav",conference,,,,,"Levin, Beth & Malka Rappaport Hovav. 2007. The Crosslinguistic Study of Dative Alternations: A Verb Sensitive Perspective
Conference on Ditransitive Constructions, Max Planck Institute for Evolutionary Anthropology, Leipzig, November 23-25, 2007.",,,,,,5353161389,,,,2007,
"A comparison on orders of S, O, V and R,T,V","Lu, Bingfu & Tianhua Luo",conference,,,,,,,,,,,5353279297,,,,2007,
On Khumi pronominal agreement morphology,"Peterson, David A.",,,,,,"Peterson, David A. 2006: On Khumi pronominal agreement morphology. Berkeley Linguistics Society (Special Session), 28: 99-110.",,Berkeley Linguistics Society (Special Session),,99-110,,5353387041,,,28,2006,
Bangladesh Khumi verbal classifiers and Kuki-Chin 'chiming',"Peterson, David A.",,,,,,"Peterson, David A. 2008: Bangladesh Khumi verbal classifiers and Kuki-Chin 'chiming'. Linguistics of the Tibeto-Burman Area, 31 (1): 109-138.",1,Linguistics of the Tibeto-Burman Area,,109-138,,5353400120,,,31,2008,
Distinguishing between referential and grammatical function in morphological typology,"Vajda, Edward J.",,Linguistic Diversity and Language Theories,,Amsterdam,"Frajzyngier, Zygmunt & Adam Hodges & David S. Rood","Vajda, Edward J. 2005. Distinguishing between referential and grammatical function in morphological typology. in: Frajzyngier, Zygmunt & Adam Hodges & David S. Rood (eds.). Linguistic Diversity and Language Theories. Amsterdam: John Benjamins. pp. 399-422.",,,,399-422,John Benjamins,5353441622,,,,2005,
The Typology of Tavization in Georgian Ditransitive Constructions,"Wier, Thomas R.",conference,,,,,,,,,,,5353520856,,,,2007,
,"Blake, Barry J.",,Case marking in Australian Languages,,Canberra,,"Blake, B. J. 1977. Case Marking in Australian Languages. Canberra: Australian Institute of Aboriginal Studies.",,,,,Australian Institute of Aboriginal Studies,5353717516,,,,1977,
Clause types,"Dryer, Matthew S.",incollection,"Clause Structure, Language Typology and Syntactic Description",,Cambridge,"Shopen, Timothy","Dryer, Matthew S. 2007. Clause types. in: Shopen, Timothy (ed.). Clause Structure, Language Typology and Syntactic Description, Vol. 1/2. pp. 224-275.",,,ch001dryer2007,224-275,Cambridge University Press,1691,,,,2007,b
,"Croft, William",book,Radical Construction Grammar. Syntactic Theory in Typological Perspective,,Oxford,,"Croft, William. 2001. Radical Construction Grammar. Oxford: Oxford University Press.",,,ch17croft2001,,Oxford University Press,1692,,,,2001,
,"Smyth, David",,"Thai, an essential grammar",,London,,"Smyth, David. 2002. Thai, an essential grammar. London. Routledge.",,,,,Routledge,1701,,,,2002,
I gave it him. On the motivation of the Alternative Double Object Construction in Varieties of British English,"Gast, Volker",,,,,,"Gast, Volker. 2007. I gave it him. On the motivation of the Alternative Double Object Construction in Varieties of British English. Functions of Language, 14: 31-56.",,Functions of Language,,31-56,,1694,,,14,2007,
Linkers and the Internal Structure of vP,"Baker, Mark C. & Chris Collins",article,,,,,"Baker, Mark C. & Chris Collins. 2006. Linkers and the Internal Structure of vP. Natural Language and Linguistic Theory, 24: 307-354.",,Natural Language and Linguistic Theory,ch01bakercollins2006,307-354,,1696,,,24,2006,
,"Terrill, Angela",,A grammar of Lavukaleve,,,,,,,,,Australian National University,1703,,,,1999,
On Emai Ditransitive Constructions,"Schaefer, Ronald P. & Francis O. Egbokhare",,Studies in Ditransitive Constructions,2,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,115-144,Mouton de Gruyter,1707,,,,2010,
Ditransitive Constructions in Thai,"Thepkanjana, Kingkarn",,Studies in Ditransitive Constructions,13,Berlin,"Malchukov, Andrej & Martin Haspelmath & Bernard Comrie",,,,,,Mouton de Gruyter,1710,,,,2010,
,"Hill, Jane H.",,A grammar of Cupeño,,Berkeley,,,,,,,University of California Press,1711,,,,2005,
,"Kroeber, Paul D.",,,,,,,,,,,,1712,,,,1925,
,Bright & Hill,,,,,,,,,,,,1713,,,,1967,
Udegejsij jazyk,"Sunik, O. P.",,Jazyki narodov SSSR,,,,,,,,,,1714,,,,1967,
,"Beyer, Stephan V.",,The Classical Tibetan language,,Albany,,,,,,,State University of New York Press,1715,,,,1992,
,"Hewitt, Brian George",,Abkhaz,,Amsterdam,,,,,,,North Holland,1716,,,,1979,
,"Maring, Joel M.",phdthesis,Grammar of Acoma Keresan,,,,,,,,,,1717,,,,1967,
,"Miller, Wick R.",,Acoma Grammar and Texts,,Berkeley,,,,,,,University of California Press,1718,,,,1965,
,"Drabbe, Peter",,Drie Asmat-dialecten,,‘s-Gravenhage,,,,,,,Martinus Nijhoff,1722,,,,1963,
,"Voorhoeve, Clemens Lambertus",,The Flamingo Bay Dialect of the Asmat Language,,‘s-Gravenhage,,,,,,,Martinus Nijhoff,1700,,,,1965,
,"King, Alan R.",,The Basque Language: A Practical Introduction,,Reno,,,,,,,Universitz of Nevada Press,1724,,,,1994,
,"Conrad, Robert J. & Kepas Wogiga",,An Outline of Bukiyip Grammar,,Cranberra,,,,,,,The Australian National University,1726,,,,1991,
,"Lorimer, David Lockhart Robertson",,"The Burushaski Language, Vol.1: Introduction and Grammar",,Cambridge,,,,,,,Harvard University Press,1728,,,,1935,
,"Berger, Hermann",,Das Yasin-Burushaski (Werchikwar),,Wiesbaden,,,,,,,Harrassowitz,1729,,,,1974,
Chukchee,"Bogoras, Waldemar",,"Handbook of American Indian Languages, Part 2",,Washington,"Boas, Franz",,,,,631-903,Government Printing Office,1735,,,,1922,
,"Harrison, Roy & Margaret Harrison & Castulo Garcia",,Diccionario Zoque de Copainala,,Mexico City,,,,,,,Summer Institute of Linguistics,1736,,,,1981,
,"Wolfart, H. Christoph",,Plains Cree: A Grammatical Study,,Philadelphia,,,,,,,American Philosophical Society,1738,,,,1973,
,"Wolfart, H. Christoph &  Carroll, Janet",,Meet Cree. Second Edition,,Edmonton,,,,,,,University of Alberta Press,1739,,,,1981,
,"Mitchell, T. F.",,An introduction to Egyptian Colloquial Arabic,,Oxford,,,,,,,Clarendon Press,1740,,,,1956,
,"Schutz, Albert J.",,The Fijian Language,,Honolulu,,,,,,,University of Hawaii Press,1742,,,,1985,
,"Sukala, Helena &  Karjalainen, Merja",,Finnish,,London,,,,,,,Routledge,1743,,,,1992,
,"Karlsson, Fred",,Finnish: an essential grammar,,London,,,,,,,Routledge,1744,,,,1999,
,"Grevisse, Maurice",book,Le bon usage. 12ème édition.,,Paris,,,,,,,Duculot,1745,,,,1986,
French,"Harris, Martin",,The Romance Languages,,London,"Harris, Martin and Nigel Vincent",,,,,209-245,Croom Helm,1746,,,,1988,
,"Cherchi, Marcello",,Georgian,,Munich,,,,,,,Lincom Europa,1747,,,,1998,
,"Vogt, Hans",,Grammaire de la langue georgienne,,Oslo,,,,,,,The Institute for Comparative Research in Human Culture,1749,,,,1971,
,"Zifonun, Gisela & Ludger Hoffmann & Bruno Strecker",,Grammatik der deutschen Sprache. 3 Bände,,Berlin,,,,,,,Walter de Gruyter,1750,,,,1997,
,"Smith, Richard",,Southern Barasano Grammar,,,,,,,,,Summer Institute of Linguistics,1751,,,,1973,
,"Kampfe, Hans-Rainer & Aleksandr P. Volodin",,Abriss der tschuktschischen Grammatik auf Basis der Schriftsprache,,Wiesbaden,,,,,,,Harrassowitz,1752,,,,1995,
"Sketch of Cree, an Algonquian Language","Wolfart, H. Christoph",,"Handbook of North American Indians, Vol. 17: Languages",,Washington,"Goddard, Ives",,,,,,Smithsonian Institute,1753,,,,1996,
,"Murane, Elizabeth",,Daga Grammar: From Morpheme to Discourse,,Norman,,,,,,,Summer Institute of Linguistics,1754,,,,1974,
,"Holton, David & Peter Mackridge & Irene Philippaki-Warburton",,Greek: a comprehensive grammar of the modern language,,London,,,,,,,Routledge,1757,,,,1997,
,"Mackridge, Peter",,The Modern Greek Language,,New York,,,,,,,Oxford University Press,1758,,,,1985,
,"Kraft, Charles H. & Marguerite G. Kraft",,Introductory Hausa,,Berkeley,,,,,,,University of California Press,1761,,,,1973,
,"Wolff, Ekkehard",,Referenzgrammatik des Hausa: Zur Begleitung des Fremdsprachenunterrichts und zur Einfuehrung in das Selbststudium,,Hamburg,,,2,,,,LIT,1763,,,,1993,
,"Glinert, Lewis",,The Grammar of Modern Hebrew. Second Edition,,,,,,,,,Cambridge University Press,1764,,,,1989,
,"McGregor, R. S.",,Outline of Hindi Grammar with exercises,,Delhi,,,,,,,Oxford University Press,1765,,,,1995,
,"Derbyshire, Desmond C.",,Hixkaryana and linguistic typology,,Dallas,,,,,,,Summer Institute of Linguistics,1767,,,,1985,
,"Hinds, John",,Japanese,,London,,,,,,,Routledge,1774,,,,1986,
,"Kuno, Susumo",,The Structure of the Japanese Language,,Cambridge,,,,,,,MIT Press,1775,,,,1973,
,"Shibatani, Masayoshi",,The languages of Japan,,Cambridge,,,,,,,Cambridge University Press,1776,,,,1990,
,"Sridhar, Shikaripur N.",,Kannada,,London,,,,,,,Routledge,1777,,,,1989,
Kewa Sentence Structure,"Franklin, Karl James",,,,Canberra,,,16,Papers in New Guinea Linguistics No.7,,,Australian National University,1780,,,,1967,
,"Binnick, Robert I.",,Modern Mongolian: A Transformational Syntax,,Toronto,,,,,,,University of Toronto Press,1781,,,,1979,
,"Hangin, John G.",,Basic Course in Mongolian,,Bloomington,,,,,,,Indiana University Press,1782,,,,1968,
,"Street, John C.",,Khalkha Structure,,Bloomington,,,,,,,Indiana University Press,1783,,,,1963,
,"Watkins, Laurel J.",,A Grammar of Kiowa,,"Lincoln, Nebraska",,,,,,,University of Nebraska Press,1784,,,,1984,
,"Chang, Suk-Jin",,Korean,,Amsterdam,,,,,,,John Benjamins,1785,,,,1996,
,"Lee, Hansol H. B.",,Korean Grammar,,,,,,,,,Oxford University Press,1786,,,,1989,
,"Sohn, Ho-Min",,The Korean Language,,Cambridge,,,,,,,Cambridge University Press,1787,,,,1999,
Additional notes on the Kutenai language,"Boas, Franz",,,,,,,4,International Journal of American Linguistics,,85-104,,1790,,,,1927,
"Annotated version of Grammar of the Kutenai Language, by Pater Philippo Canestrelli","Boas, Franz",,,,,,,4,International Journal of American Linguistics,,1-84,,1791,,,,1927,
Kutenai I: phonemics,"Garvin, Paul L.",,,,,,,14,International Journal of American Linguistics,,37-38,,1792,,,,1948,
Kutenai II: morpheme variations,"Garvin, Paul L.",,,,,,,14,International Journal of American Linguistics,,87-90,,1793,,,,1948,
"Kutenai III: morpheme distribution (prefix, theme, suffix)","Garvin, Paul L.",,,,,,,14,International Journal of American Linguistics,,171-187,,1794,,,,1948,
,"Buechel, Eugene",,A Grammar of Lakota,,"Rosebud, South Dakota",,,,,,,Rosebud Educational Society,1795,,,,1939,
"Sketch of Lakhota, a Siouian Language","Rood, David S. & Taylor, Allen R.",,"Handbook of North American Indians, 17: languages",,Washington,"Goddard, Ives",,,,,440-482,Smithsonian Institute,1796,,,,1996,
,"Gecadze, Irina O.",,"Ocerki po sintaksisu abxazskogo jazyka.
Sinxronno - diaxronnaja xarakteristika.",,Leningrad,,,,,,,Nauka,1798,,,,1979,
,"Skorik, P.",,Grammatika chukotskogo jazyka,,Leningrad,,,,,,,Izd-vo Akademii nauk SSSR,1799,,,1&2,19611977,
,"Franklin, Karl James",book,"A Grammar of Kewa, New Guinea",,Canberra,,,16,,ch15franklin1971,,Australian National University,1801,,,,1971,
,"Bromley, H. Myron",,A Grammar of Lower Grand Valley Dani,,,,,63,,,,Australian National University,1802,,,,1981,
,"Horton, Alonzo E.",,A Grammar of Luvale,,Johannesburg,,,,,,,Witwatersrand University Press,1803,,,,1949,
,"Dez, Jacques",,Structures de la Langue Malgache,,Paris,,,,,,,Publications Orientalistes de France,1804,,,,1980,
,"Domenichini-Ramiaramanana, Bakoly",,Le Malgache: Essai de Description Sommaire,,Paris,,,,,,,SELAF,1805,,,,1977,
Rogativas Mapuches,"Fernandez Garay, Ana V.",,,,,,,7,Amerindia,,109-144,,1808,,,,1982,
,"Salas, Adalberto",book,"El Mapuche o Araucano. Fonología, Gramatica y Antologia de cuentos",,Madrid,,,3,,ch24salas1992,,MAPFRE,1809,,,,1992,
,"Smeets, Ineke",phdthesis,A Mapuche grammar,,Leiden,,,,,ch24smeets1989,,,1810,University of Leiden,,,1989,
,"Tovar, Antonio",,Relatos y Dialogos de Los Matacos,,Madrid,,,,,,,Instituto de Cooperacion Iberoamericana,1813,,,,1981,
,"Capell, Arthur & Hinch, H. E.",,Maung Grammar,,The Hague,,,,,,,Mouton,1814,,,,1970,
,"Donaldson, Tamsin",,Ngiyampaa Worldworld,,Canberra,,,,,,,Australian Institute of Aboriginal and Torres Strait Islander Studies,1820,,,,1997,
,"Abbott, Clifford",,Oneida,,Munich,,,,,,,Lincom Europa,1821,,,,2000,
,"Lounsbury, Floyd",,Oneida Verb Morphology,,New Hawen,,,48,,,,"Dept. of Anthropology, Yale University",1822,,,,1953,
,"Rastorgueva, V. S.",,A Short Sketch of the Grammar of Persian,,Bloomington,,,12,,,,"Indiana University Research Center in Anthropology, Folklore and Linguistics",1826,,,30,1964,
,"Everett, Daniel L.",,"A lingua piraha e a teoria da sintaxe: descricao, perspectivas e teoria",,"Campinas, Brazil",,,,,,,Editora de Unikamp,1828,,,,1991,
Easter Island: a characteristic VSO language,"Chapin, Paul",,Syntactic Typology,,Austin,"Lehmann, Winfred P.",,,,,,University of Texas Press,1830,,,,1978,
,"Wade, Terence L. B.",,A Comprehensive Russian Grammar,,Oxford,,,,,,,Blackwell,1832,,,,1992,
Spanish,"Green, John N.",,The Romance Languages,,,"Harris, Martin & Nigel, Vincent",,,,,79-130,,1836,,,,1988,
,"Ashton, Ethel O.",,Swahili Grammar. Second Edition,,London,,,,,,,"Longmans, Green & Co",1838,,,,1947,
,"Campbell, Stuart & Shaweevongse, Chuan",,The fundamentals of the Thai language. Second Edition,,New York,,,,,,,Paragon Book Gallery,1841,,,,1962,
,"Warotamasikkhadit, Udom",,Thai Syntax,,The Hague,,,,,,,Mouton,1842,,,,1972,
,"Lewis, Geoffrey L.",,Turkish Grammar,,,,,,,,,Oxford University Press,1846,,,,1967,
,"Swift, Lloyd B.",,A Reference Grammar of Modern Turkish,,Bloomington,,,,,,,Indiana University Publications,1847,,,,1963,
,"Underhill, Robert",,Turkish Grammar,,Cambridge,,,,,,,MIT Press,1848,,,,1976,
,"Thompson, Laurence",,A Vietnamese Grammar,,Seattle,,,,,,,University of Califonia,1850,,,,1965,
The inner Structure of the Warao Language of Guaiana,"de Goeje, Claudius H.",,,,,,,22,Journal de la Societe des Americanistes de Paris,,23-72,,1851,,,,1930,
,"Rood, David S.",,Wichita Grammar,,New York,,,,,,,Garland,1855,,,,1976,
"Sketch of Wichita, a Caddoan Language","Rood, David S.",,"Handbook of North American Indians, 17: Languages",,Washington,"Goddard, Ives",,,,,580-608,Smithsonian Institute,1856,,,,1996,
,"Noss, Richard",,Thai Reference Grammar,,Washington,,,,,,,"Foreign Service Institute, Dept. of A State, United States Government",1857,,,,1964,
,"Payne, Doris L.",,The Pragmatics of Word Order: Typological Dimensions of Verb Initial Languages,,Berlin,,,,,,,Mouton de Gruyter,1858,,,,1990,
,"Lindenfeld, Jacqueline",,Yaqui Syntax,,Berkeley,,,76,,,,University of California Press,1861,,,,1971,
,"Awobuluyi, A. Oladele",,Essentials of Yoruba Grammar,,Ibadan,,,,,,,Oxford University Press Nigeria,1862,,,,1978,
,"Rowlands, Evan Colyn",,Teach Yourself Yoruba,,London,,,,,,,English Universities Press,1863,,,,1969,
,"Poulos, George",,Zulu,,Munich,,,,,,,Lincom Europa,1864,,,,1997,
,"Ziervogel, Dirk & Louw, Jacobus Abraham & Taljaard, P. C.",,A Handbook of the Zulu Language,,Pretoria,,,,,,,J. L. van Schaik,1865,,,,1981,
,"Najlis, Elena L.",,Lengua Abipona. Tomo 1,,Buenos Aires,,,,,,,"Centro de Estudios, Universidad de Buenos Aires",1866,,,,1966,
,"Dettmer, Hans Adalbert",,Ainu-Grammatik. Teil 1: Texte und Hinweise,,Wiesbaden,,,38,,,,Harrassowitz,1867,,,,1989,
,"Dettmer, Hans Adalbert",,Ainu-Grammatik. Teil 2: Erlaeuterungen und Register,,Wiesbaden,,,,,,,Harrassowitz,1868,,,,1997,
,"de Pitman, Mary",,Diccionario Araona-Castellano,,"Riberalta, Bolivia",,,,,,,Instituto Linguistico de Verano,1871,,,,1981,
,"Hardman de Bautista, Martha J. & Juana Vasquez & Juan de Dios Yapita",,"Aymara, compendio de estructura fonologica y gramatical",,Gainesville,,,,,,,Aymara Foundation,1874,,,,1988,
,"Bird, C. & Kante, M.",,An Kan Bamanakan Kalan: Intermediate Bambara,,Bloomington,,,,,,,Indiana University Linguistics Club,1875,,,,1976,
,"Bird, Charles & John Hutchison & Mamadou Kanté",,An Ka Bamanankan Kalan: Beginning Bambara,,Bloomington,,,,,,,Indiana University Linguistics Club,1876,,,,1977,
A structural sketch of Beja,"Hudson, Richard A.",,African Language Studies,,London,"Arnott, D. W.",,,,,111-142,School of Oriental and African Studies,1878,,,,1974,
,"Brays, Denys",,The Brahui Language Part 1: Introduction and Grammar,,Calcutta,,,,,,,Superintendent Government Printing,1880,,,,1909,
,"Constenla Umana, Adolfo & Margery Pena, Enrique & Morales Stuart, Rito",,Bribri II. Dialogos gramatica y pronunciacion,,,,,,,,,Ciudad Universitaria Rodrigo Facio,1881,,,,1979,
,"Constenla Umana, Adolfo & Figueroa, Feliciano Elicondo & Mora, Francisco Pereira Mora",,Curso basico de Bribri,,San Jose,,,,,,,Universidad de Costa Rica,1882,,,,1998,
Notas preliminares sobre la morfologia Bribri,"Margery Pena, Enrique",,"Diccionario Bribri-Espanol, Espanol-Bribri",,San Jose,,,,,,,Editorial Universitdad de Costa Rica,1883,,,,1982,
,"Margery Pena, Enrique",,"Diccionario fraseologico bribri-espanol, espanol-bribri",,San Jose,,,,,,,Universitdad de Costa Rica,1884,,,,1982,
,"Seiler, Hansjakob",,Cahuilla Grammar,,"Banning, California",,,,,,,Malki Museum Press,1885,,,,1977,
,"Hoff, Berend J.",,"The Carib Language: Phonology, Morphology, Texts and Word Index",,The Hague,,,,,,,Martinus Nijhoff,1887,,,,1968,
,"Key, Harold H.",,Morphology of Cayuvava,,The Hague,,,,,,,Mouton,1888,,,,1967,
Tsimshian,"Boas, Franz",,Handbook of American Indian Languages,,Washington,"Boas, Franz",,,,,283-422,Government Printing Office,1889,,,1,1911,
,"Dunn, John Asher",,A Reference Grammar for the Coast Tsimshian Language,,Ottawa,,,55,,,,National Museum of Canada,1890,,,,1979,
,"Dunn, John Asher",,A practical dictionary of the Coast Tsimshian language,,Ottawa,,,,,,,National Museum of Canada,1891,,,,1978,
,"Carney, Jean Ormsbee",,A Grammar of Comanche,,Lincoln,,,,,,,University of Nebraska Press,1893,,,,1993,
,"Wistrand-Robinson, Lila & Armagost, James",,Comanche Dictionary and Grammar,,,,,,,,,Summer Institute of Linguistics and the University of Texas and Arlington,1894,,,,1990,
,"Sapir, J. David",,A Grammar of Diola-Fogny,,Ibadan,,,,,,,Cambridge University Press in association with the West African Languages Survey and the Institue of African Studies,1895,,,,1965,
,"Drabbe, Peter",,Spraakkunst van het Ekagi,,‘s-Gravenhage,,1,,,,,Martinus Nijhoff,1898,,,,1952,
,"Bulatova, Nadezhda & Grenoble, Lenore",,Evenki,,Munich,,,,,,,Lincom Europa,1900,,,,1998,
,"Pasch, Helma",,Kurzgrammatik des Ewe,,Köln,,,,,,,Rüdiger Köppe,1902,,,,1995,
,"Tucker, Archibald N. & Bryan, Margaret A.",,Linguistic Analysis: The Non-Bantu Languages of North-Eastern Africa,,London,,,,,,,Oxford University Press,1903,,,,1966,
,"Jakobi, Angelika",,"A Fur Grammar: Phonology, Morphophonology and Morphology",,Hamburg,,,,,,,Buske,1904,,,,1990,
,"Burling, Robbins",,A Garo Grammar,,Poona,,,,,,,Deccan College Postgraduate and Research Institute,1905,,,,1961,
Haida,"Swanton, John R.",,Handbook of American Indian Languages II,,Washington,"Boas, Franz",,,,,297-429,Government Printing Office,1906,,,,1911,
Coos,"Frachtenberg, Leo Joschim",,Handbook of American Languages II,,Washington,"Boas, Franz",,,,,205-282,Government Printing Office,1907,,,,1922,
,"Green, Margaret Mackesen & Igwe, G. E.",,A Descriptive Grammar of Igbo,,London,,,,,,,Oxford University Press,1910,,,,1963,
,"Frank, Paul Stephen",,Ika Syntax,,,,,,,,,Summer Institute of Linguistics and University of Texas at Arlington,1911,,,,1990,
